Test Number,Response Time (s)
1,0.363287
2,0.391162
3,0.289072
4,0.391827
5,0.312097
6,0.365297
7,0.388813
8,0.385379
9,0.505157
10,0.695637
11,0.39022
12,0.321751
13,0.359781
14,0.38887
15,0.708337
16,0.380722
17,0.324817
18,0.24911
19,0.260513
20,0.255505
21,0.249815
22,0.25958
23,0.246584
24,0.263647
25,0.249683
26,0.256062
27,0.245821
28,0.246587
29,0.257714
30,0.249558
31,0.250482
32,0.249309
33,0.259958
34,0.255272
35,0.251587
36,0.248376
37,0.246203
38,0.257172
39,0.25086
40,0.251121
41,0.264165
42,0.252589
43,0.275261
44,0.257966
45,0.247208
46,0.288478
47,0.339897
48,0.340111
49,0.343193
50,0.344484
51,0.333939
52,0.407414
53,0.246388
54,0.250876
55,0.255805
56,0.257582
57,0.250269
58,0.254952
59,0.256829
60,0.25389
61,0.253867
62,0.244733
63,0.256187
64,0.260694
65,0.251026
66,0.25991
67,0.247813
68,0.243746
69,0.254023
70,0.246988
71,0.245756
72,0.252655
73,0.248473
74,0.252065
75,0.250945
76,0.251832
77,0.249595
78,0.246952
79,0.253433
80,0.254811
81,0.251241
82,0.246327
83,0.250811
84,0.260037
85,0.256698
86,0.25305
87,0.250473
88,0.251951
89,0.254268
90,0.255217
91,0.244985
92,0.254436
93,0.250607
94,0.248408
95,0.250225
96,0.246208
97,0.254629
98,0.252464
99,0.265789
100,0.253244
