Test Number,Response Time (s),,,
1,0.399635,,avg,0.53034573
2,0.28767,,,
3,0.588665,,,
4,0.579386,,,
5,0.595333,,,
6,0.278852,,,
7,0.605008,,,
8,0.48346,,,
9,0.72086,,,
10,0.673394,,,
11,0.390265,,,
12,0.696548,,,
13,0.507046,,,
14,0.799311,,,
15,0.582771,,,
16,0.802082,,,
17,0.700232,,,
18,0.502596,,,
19,0.388405,,,
20,0.407615,,,
21,0.462706,,,
22,0.603172,,,
23,0.489112,,,
24,0.642023,,,
25,0.767126,,,
26,0.481564,,,
27,0.595721,,,
28,0.508755,,,
29,0.481274,,,
30,0.640183,,,
31,0.649921,,,
32,0.49049,,,
33,0.316218,,,
34,0.286565,,,
35,0.680155,,,
36,1.205921,,,
37,0.790933,,,
38,0.603849,,,
39,0.313652,,,
40,0.319122,,,
41,0.54072,,,
42,0.801393,,,
43,0.493552,,,
44,0.693473,,,
45,0.608674,,,
46,0.594622,,,
47,0.589402,,,
48,0.69784,,,
49,0.58479,,,
50,0.395261,,,
51,0.386454,,,
52,0.461274,,,
53,0.344059,,,
54,0.342455,,,
55,0.339426,,,
56,0.349662,,,
57,2.643319,,,
58,0.258668,,,
59,0.263427,,,
60,0.263719,,,
61,0.25936,,,
62,0.258696,,,
63,0.267959,,,
64,0.254115,,,
65,0.251658,,,
66,0.250592,,,
67,0.258553,,,
68,0.25995,,,
69,0.259636,,,
70,0.49111,,,
71,0.391116,,,
72,0.382522,,,
73,0.534725,,,
74,0.257874,,,
75,0.693156,,,
76,0.804961,,,
77,0.363291,,,
78,0.417287,,,
79,0.400355,,,
80,0.684914,,,
81,0.394832,,,
82,0.337517,,,
83,0.667971,,,
84,0.580592,,,
85,0.595835,,,
86,0.598137,,,
87,0.700182,,,
88,0.495458,,,
89,0.706714,,,
90,0.580637,,,
91,0.595781,,,
92,0.400148,,,
93,0.797044,,,
94,0.59006,,,
95,0.401451,,,
96,0.386035,,,
97,0.812663,,,
98,0.485582,,,
99,0.611257,,,
100,0.585061,,,
