Test Number,wout.uksouth,dsgtn.uaenorth,dsgt.westus2,dsgt1.japaneast
1,0.080387,0.081970,0.081275,0.084017
2,0.010566,0.010986,0.010877,0.009792
3,0.009686,0.010714,0.009672,0.010765
4,0.010981,0.010738,0.009859,0.011703
5,0.013060,0.009625,0.010917,0.011954
6,0.011982,0.011867,0.011731,0.010666
7,0.010972,0.010900,0.013545,0.011971
8,0.010711,0.011989,0.013882,0.010941
9,0.010948,0.011775,0.009824,0.012020
10,0.012956,0.021330,0.010938,0.009728
11,0.010766,0.015070,0.012866,0.013973
12,0.009648,0.016031,0.010998,0.009610
13,0.009666,0.009649,0.009884,0.010730
14,0.009567,0.009698,0.010747,0.016125
15,0.010693,0.013094,0.013889,0.009853
16,0.011762,0.013016,0.010663,0.010971
17,0.011793,0.016039,0.010798,0.009830
18,0.009660,0.014760,0.013087,0.010878
19,0.009478,0.013018,0.010060,0.007728
20,0.009820,0.007761,0.007483,0.009672
21,0.009797,0.008609,0.009575,0.010914
22,0.009652,0.007742,0.011687,0.009693
23,0.010213,0.010716,0.010952,0.009733
24,0.009735,0.009867,0.010773,0.007716
25,0.010776,0.009862,0.009855,0.010769
26,0.007580,0.007591,0.009876,0.010948
27,0.009854,0.017271,0.009851,0.009695
28,0.009852,0.010788,0.009698,0.010086
29,0.010780,0.010942,0.009892,0.010846
30,0.012090,0.010771,0.007784,0.009731
31,0.011767,0.011967,0.009719,0.009818
32,0.008059,0.010764,0.009867,0.010787
33,0.010049,0.008674,0.009881,0.012076
34,0.010805,0.008661,0.009754,0.014077
35,0.011879,0.010832,0.009755,0.008668
36,0.009794,0.008694,0.009717,0.009728
37,0.015071,0.010906,0.008634,0.009828
38,0.009768,0.008744,0.009873,0.008777
39,0.011852,0.010829,0.008599,0.009849
40,0.009704,0.008797,0.010727,0.010814
41,0.008682,0.009881,0.010795,0.008744
42,0.010856,0.011840,0.011989,0.013966
43,0.008716,0.010765,0.009856,0.009741
44,0.009881,0.008676,0.010780,0.007591
45,0.014066,0.017106,0.018301,0.012994
46,0.011919,0.009760,0.010758,0.015016
47,0.007638,0.010746,0.007507,0.011847
48,0.010901,0.011939,0.009919,0.010733
49,0.009885,0.009673,0.008667,0.014145
50,0.010795,0.009715,0.010797,0.012050
51,0.010781,0.010942,0.007598,0.015040
52,0.009769,0.010893,0.011882,0.010774
53,0.010820,0.011866,0.010770,0.009215
54,0.009895,0.008044,0.008755,0.008760
55,0.010780,0.008706,0.007729,0.010783
56,0.009866,0.008691,0.010754,0.009786
57,0.009783,0.008761,0.010778,0.010986
58,0.010785,0.009799,0.010760,0.008655
59,0.009913,0.009694,0.010954,0.008633
60,0.010929,0.009949,0.010825,0.010804
61,0.008825,0.010779,0.016053,0.011977
62,0.010857,0.010929,0.012908,0.010916
63,0.021334,0.016084,0.012010,0.009868
64,0.011993,0.010901,0.009746,0.010758
65,0.011874,0.011896,0.007609,0.009926
66,0.011822,0.011834,0.009787,0.010789
67,0.012881,0.008652,0.010861,0.009710
68,0.009518,0.012974,0.013932,0.023224
69,0.011874,4.836835,0.008521,0.009621
70,0.012952,0.010693,0.007763,0.011061
71,0.009684,0.010700,0.009490,0.010963
72,0.009680,0.021061,0.009680,0.009726
73,0.009455,0.013997,0.009650,0.009556
74,0.008611,0.009636,0.011756,0.010707
75,0.009465,0.009645,0.009601,0.012005
76,0.010708,0.008634,0.007518,0.009502
77,0.009650,0.008631,0.007483,0.008600
78,0.009657,0.012831,0.011806,0.008615
79,0.009699,0.009610,0.007471,0.007490
80,0.009680,0.008636,0.009655,0.009670
81,0.007470,0.009759,0.008848,0.013597
82,0.011931,0.008802,0.010737,0.011994
83,0.009735,0.010920,0.008654,0.015088
84,0.008759,0.008634,0.010894,0.017137
85,0.008630,0.008704,0.008613,0.009708
86,0.011747,0.008596,0.009613,0.007425
87,0.010738,0.013916,0.009603,0.009657
88,0.009500,0.009648,0.012656,0.007533
89,0.009712,0.010819,0.009768,0.013576
90,0.009639,0.009674,0.008592,0.009616
91,0.009803,0.009656,0.008784,0.008630
92,0.012057,0.010703,0.009479,0.009675
93,0.007713,0.009691,0.022237,0.008765
94,0.015709,0.008777,0.018257,0.011936
95,0.011971,0.009835,0.010917,0.009825
96,0.014096,0.013020,0.013043,0.010860
97,0.010895,0.010894,0.011713,0.013036
98,0.010892,0.014111,0.011738,0.010903
99,0.018292,0.010703,0.009835,0.008772
100,0.026527,0.008590,0.009827,0.009664
