Test Number,wout.uksouth,dsgtn.uaenorth,dsgt.westus2,dsgt1.japaneast
1,0.543940,0.344065,0.249239,1.036543
2,0.490660,0.357789,0.234315,0.055313
3,0.514183,0.375432,0.206058,0.022470
4,0.514403,0.339720,0.204444,0.018658
5,0.511857,0.350228,0.205123,0.017744
6,0.515037,0.359447,0.248997,0.029716
7,0.481091,0.378965,0.245615,0.029439
8,0.542850,0.312917,0.247230,0.071513
9,0.538293,0.352125,0.207282,0.069315
10,0.480360,0.401611,0.237452,0.067201
11,0.495251,0.327105,0.206596,0.022860
12,0.482566,0.318243,0.206038,0.024292
13,0.473702,0.363815,0.204734,0.018875
14,0.479314,0.349759,0.204732,0.018711
15,0.510193,0.364164,0.205463,0.016780
16,0.450751,0.364153,0.238128,0.021537
17,0.480059,0.323043,0.205450,0.022531
18,0.511506,0.337637,0.203235,0.064860
19,0.458668,0.303707,0.204499,0.020184
20,0.512344,0.363612,0.236298,0.019940
21,0.479859,0.349170,0.204643,0.015739
22,0.478309,0.361581,0.203316,0.018329
23,0.450083,0.303587,0.209670,0.023148
24,0.508090,0.394697,0.204215,0.016152
25,0.481940,0.317810,0.205660,0.018284
26,0.452890,0.318558,0.206690,0.014088
27,0.451987,0.314698,0.204967,0.028259
28,0.511501,0.399341,0.203045,0.067783
29,0.483525,0.318081,0.203220,0.019017
30,0.452379,0.351835,0.249371,0.038039
31,0.505177,0.327896,0.204497,0.015375
32,0.479324,0.334971,0.205451,0.022680
33,0.477308,0.346685,0.202798,0.046865
34,0.479964,0.317522,0.204091,0.015144
35,0.481798,0.309627,0.204406,0.017182
36,0.513346,0.349858,0.211427,0.013977
37,0.476695,0.350984,0.203422,0.051485
38,0.542178,0.349973,0.206060,0.020008
39,0.482881,0.311061,0.204010,0.017286
40,0.450388,0.348047,0.213567,0.022449
41,0.483577,0.394348,0.207135,0.019730
42,0.477902,0.303169,0.207509,0.018958
43,0.480012,0.317329,0.202718,0.016045
44,0.482097,0.365443,0.206422,0.021197
45,0.483088,0.311530,0.202990,0.012870
46,0.487880,0.365210,0.205356,0.015978
47,0.477517,0.349074,0.205340,0.061484
48,0.513913,0.393863,0.206923,0.015858
49,0.504577,0.324975,0.202751,0.016251
50,0.479570,0.336153,0.239258,0.019991
51,0.504516,0.326893,0.204246,0.012097
52,0.496395,0.310143,0.205463,0.016793
53,0.492763,0.348383,0.204998,0.017189
54,0.479595,0.363586,0.204148,0.025119
55,0.459773,0.345185,0.204113,0.015858
56,0.484535,0.362847,0.208135,0.013626
57,0.479598,0.310962,0.202351,0.017193
58,0.511550,0.386817,0.222465,0.011680
59,0.477442,0.364024,0.251277,0.015693
60,0.479145,0.322037,0.236937,0.012463
61,0.504108,0.308972,0.202714,0.020110
62,0.515066,0.315825,0.239833,0.015284
63,0.487774,0.354115,0.203571,0.016481
64,0.479745,0.350832,0.209124,0.062536
65,0.478174,0.367719,0.205053,0.016321
66,0.513761,0.395526,0.239436,0.061580
67,0.509391,0.358872,0.204376,0.014812
68,0.509526,0.359402,0.252419,0.019621
69,0.484409,0.304046,0.205541,0.048980
70,0.474270,0.316378,0.203106,0.014778
71,0.478280,0.312544,0.208345,0.016433
72,0.481816,0.349143,0.206002,0.016447
73,0.477072,0.328702,0.205900,0.019909
74,0.479405,0.309788,0.249265,0.014060
75,0.491763,0.304579,0.209013,0.017493
76,0.516633,0.301850,0.251539,0.050244
77,0.512813,0.360193,0.203445,0.013524
78,0.504338,0.306263,0.207060,0.046350
79,0.479675,0.326167,0.205353,0.016137
80,0.515923,0.317151,0.205445,0.017203
81,0.478885,0.318640,0.205342,0.017671
82,0.449773,0.366203,0.204566,0.018647
83,0.450351,0.311849,0.240659,0.016156
84,0.450153,0.343405,0.203630,0.023467
85,0.482579,0.303086,0.202394,0.015565
86,0.450811,0.317196,0.206645,0.048448
87,0.518529,0.356563,0.204792,0.019745
88,0.477027,0.307635,0.248226,0.042362
89,0.504456,0.337044,0.202724,0.014310
90,0.507904,0.305606,0.208703,0.013618
91,0.455368,0.356059,0.219152,0.019266
92,0.513256,0.311523,0.249248,0.015883
93,0.473678,0.305618,0.204320,0.020996
94,0.504675,0.313757,0.204422,0.012174
95,0.479970,0.317858,0.209732,0.055328
96,0.479621,0.330447,0.204427,0.048248
97,0.512859,0.384607,0.207829,0.015326
98,0.478398,0.303708,0.251074,0.016917
99,0.452026,0.326126,0.204825,0.015082
100,0.462535,0.306522,0.211495,0.012118
