Test Number,wout.uksouth,dsgtn.uaenorth,dsgt.westus2,dsgt1.japaneast
1,0.243783,0.009201,0.509351,0.356981
2,0.240547,0.009583,0.535165,0.325865
3,0.241580,0.007047,0.500896,0.313558
4,0.241855,0.007448,0.525745,0.344040
5,0.246867,0.006823,0.519888,0.398252
6,0.237187,0.007059,0.519866,0.315524
7,0.236468,0.006115,0.505023,0.349295
8,0.236563,0.008978,0.525719,0.325821
9,0.240131,0.011646,0.549831,0.303180
10,0.242155,0.014176,0.493269,0.311523
11,0.241555,0.006826,0.516026,0.321861
12,0.236957,0.006807,0.515504,0.303352
13,0.245855,0.007257,0.493759,0.305173
14,0.245070,0.006528,0.492645,0.320509
15,0.243705,0.011338,0.505488,0.382694
16,0.237480,0.012503,0.503211,0.314072
17,0.240018,0.007231,0.492494,0.305541
18,0.237777,0.006050,0.501123,0.316511
19,0.235550,0.006941,0.538703,0.365157
20,0.260784,0.007280,0.510025,0.358978
21,0.235165,0.008433,0.515132,0.351067
22,0.237424,0.007080,0.517637,0.327669
23,0.238301,0.007430,0.520586,0.307783
24,0.236936,0.006046,0.493606,0.310616
25,0.236029,0.006104,0.515560,0.322223
26,0.235093,0.008122,0.504006,0.324594
27,0.237281,0.009928,0.502045,0.351418
28,0.238117,0.016552,0.516601,0.318425
29,0.237318,0.014738,0.493316,0.356551
30,0.240342,0.007900,0.501413,0.311383
31,0.236072,0.007786,0.519498,0.317042
32,0.238893,0.006325,0.488186,0.328245
33,0.235070,0.008137,0.502060,0.353387
34,0.240816,0.006197,0.517543,0.338640
35,0.237797,0.007871,0.518492,0.302472
36,0.236437,0.011182,0.518843,0.319400
37,0.239814,0.009545,0.514507,0.357705
38,0.237679,0.025731,0.487031,0.319853
39,0.236402,0.007881,0.568380,0.329664
40,0.238221,0.006786,0.503477,0.353284
41,0.242548,0.007215,0.500276,0.330902
42,0.251514,0.006966,0.504093,0.323820
43,0.237416,0.007183,0.519535,0.317174
44,0.239267,0.007319,0.517810,0.321858
45,0.235450,0.011527,0.549727,0.309972
46,0.241714,0.006944,0.515838,0.349447
47,0.238146,0.006651,0.506741,0.320410
48,0.236861,0.010654,0.515569,0.311705
49,0.235213,0.007178,0.537779,0.311436
50,0.237088,0.006580,0.488188,0.318016
51,0.235948,0.006322,0.493535,0.349077
52,0.255265,0.007126,0.502543,0.310518
53,0.239769,0.008218,0.545917,0.343989
54,0.240453,0.006502,0.502458,0.356084
55,0.247070,0.007219,0.532021,0.313424
56,0.237423,0.006960,0.505111,0.312771
57,0.235799,0.011267,0.519217,0.306640
58,0.236553,0.006287,0.504930,0.356272
59,0.237896,0.005515,0.487482,0.322364
60,0.242916,0.007223,0.549483,0.312847
61,0.239898,0.007291,0.516478,0.349048
62,0.236238,0.006795,0.506928,0.328781
63,0.237442,0.006747,0.516720,0.394162
64,0.237367,0.006577,0.502034,0.336849
65,0.237979,0.011541,0.499039,0.326371
66,0.240506,0.005984,0.555160,0.308847
67,0.242948,0.008826,0.505844,0.320833
68,0.236712,0.006552,0.502320,0.319241
69,0.236304,0.006601,0.487407,0.356272
70,0.238893,0.006855,0.503613,0.326490
71,0.238561,0.007335,0.508428,0.350669
72,0.240033,0.006792,0.487390,0.354025
73,0.238011,0.008217,0.500403,0.323664
74,0.236857,0.006984,0.490068,0.396274
75,0.238022,0.009163,0.490475,0.355012
76,0.236751,0.006328,0.517008,0.318634
77,0.235641,0.007230,0.545577,0.307920
78,0.236425,0.006725,0.517943,0.319794
79,0.237119,0.006219,0.509293,0.321910
80,0.235210,0.013043,0.515323,0.302832
81,0.235222,0.006296,0.486875,0.306759
82,0.236003,0.005410,0.487210,0.319742
83,0.239507,0.006857,0.506232,0.354121
84,0.236101,0.007480,0.562385,0.349356
85,0.245457,0.006584,0.534085,0.353073
86,0.239307,0.006780,0.520213,0.309311
87,0.242138,0.005940,0.547922,0.325245
88,0.241306,0.006113,0.546866,0.364149
89,0.235412,0.005812,0.547126,0.311025
90,0.241751,0.007266,0.533032,0.309057
91,0.236868,0.006594,0.511702,0.365362
92,0.236590,0.006116,0.517214,0.312682
93,0.235008,0.006953,0.567817,0.314214
94,0.244659,0.011881,0.505853,0.303083
95,0.236079,0.007645,0.518469,0.308446
96,0.236172,0.006254,0.504537,0.348491
97,0.242048,0.006606,0.520383,0.348871
98,0.235851,0.006746,0.537050,0.351661
99,0.239417,0.005810,0.512184,0.309700
100,0.238781,0.006303,0.502314,0.364130
