Test Number,wout.uksouth,dsgtn.uaenorth,dsgt.westus2,dsgt1.japaneast
1,0.010336,0.238790,0.272074,0.481332
2,0.015378,0.239389,0.287347,0.506468
3,0.009469,0.238843,0.276143,0.483341
4,0.010734,0.239092,0.294804,0.508972
5,0.012058,0.236243,0.284401,0.511106
6,0.010181,0.248112,0.283132,0.511090
7,0.008144,0.243229,0.284610,0.480540
8,0.009644,0.236875,0.282043,0.511921
9,0.017356,0.240513,0.272830,0.479828
10,0.008729,0.238966,0.273923,0.483793
11,0.017812,0.246012,0.291973,0.471054
12,0.008948,0.240746,0.281465,0.506156
13,0.010606,0.239362,0.279623,0.485886
14,0.009694,0.237639,0.271953,0.478175
15,0.009947,0.236646,0.273859,0.480079
16,0.008913,0.236452,0.279765,0.495579
17,0.011062,0.240714,0.280175,0.506864
18,0.010659,0.238387,0.291658,0.486668
19,0.009130,0.239120,0.289012,0.497425
20,0.013916,0.242937,0.273839,0.481957
21,0.009882,0.243219,0.274773,0.489464
22,0.010531,0.246310,0.290475,0.478865
23,0.007733,0.241979,0.284352,0.510860
24,0.008288,0.238714,0.282561,0.478473
25,0.009667,0.236496,0.270563,0.479407
26,0.008247,0.237311,0.280581,0.507621
27,0.008033,0.241341,0.285536,0.476991
28,0.009505,0.253296,0.279568,0.505947
29,0.011592,0.238785,0.272243,0.508978
30,0.010930,0.240111,0.270935,0.509227
31,0.012235,0.242632,0.272480,0.483356
32,0.009354,0.236524,0.269195,0.507414
33,0.007663,0.236319,0.271945,0.483841
34,0.008600,0.237700,0.272481,0.466573
35,0.009571,0.236123,0.274160,0.480955
36,0.008695,0.238064,0.270751,0.479925
37,0.009480,0.238236,0.271739,0.479061
38,0.009232,0.239402,0.273539,0.506446
39,0.008217,0.240184,0.289934,0.478770
40,0.011519,0.241254,0.285432,0.483061
41,0.011594,0.260937,0.285205,0.493939
42,0.008450,0.244027,0.282953,0.504342
43,0.007372,0.237860,0.272190,0.477975
44,0.009282,0.237661,0.269372,0.454420
45,0.012529,0.234996,0.282362,0.477789
46,0.008978,0.236407,0.282641,0.506976
47,0.009827,0.236141,0.282595,0.505440
48,0.023366,0.240311,0.275440,0.493856
49,0.009532,0.242283,0.283346,0.480097
50,0.009912,0.237303,0.289777,0.485281
51,0.008206,0.239594,0.273059,0.486194
52,0.008466,0.235393,0.274760,0.481406
53,0.009196,0.237026,0.283986,0.504298
54,0.015162,0.247755,0.282087,0.504999
55,0.009801,0.258129,0.286483,0.483533
56,0.009494,0.237997,0.270500,0.480768
57,0.011726,0.245839,0.283927,0.505714
58,0.008534,0.237415,0.270019,0.456971
59,0.007330,0.243149,0.290819,0.482699
60,0.008130,0.236723,0.273754,0.504060
61,0.013524,0.238660,0.274003,0.480012
62,0.008715,0.234952,0.281893,0.520679
63,0.007366,0.237644,0.280225,0.507357
64,0.010559,0.235140,0.290136,0.504323
65,0.013952,0.234643,0.271698,0.506841
66,0.010942,0.244849,0.292370,0.506828
67,0.008067,0.235137,0.290764,0.481006
68,0.011826,0.236222,0.281352,0.478094
69,0.007928,0.236076,0.272572,0.479330
70,0.009507,0.237762,0.288827,0.479431
71,0.014823,0.238108,0.273499,0.485760
72,0.008138,0.235225,0.282201,0.506115
73,0.009788,0.235894,0.269497,0.503942
74,0.009933,0.236968,0.291952,0.507186
75,0.013328,0.237316,0.284060,0.477079
76,0.009694,0.236469,0.270563,0.481873
77,0.010813,0.241665,0.282605,0.478402
78,0.008299,0.241352,0.281280,0.480467
79,0.009981,0.240960,0.282938,0.479701
80,0.010878,0.240165,0.291020,0.480776
81,0.011653,0.237080,0.270930,0.514515
82,0.007816,0.240220,0.273586,0.478644
83,0.008805,0.236816,0.276616,0.477938
84,0.012496,0.236190,0.283618,0.503661
85,0.011330,0.236325,0.293521,0.478417
86,0.009060,0.237046,0.280896,0.478589
87,0.008647,0.241399,0.279845,0.507716
88,0.011953,0.235163,0.271944,0.481000
89,0.008468,0.249833,0.271244,0.513306
90,0.018500,0.234988,0.272776,0.484559
91,0.010339,0.241698,0.280816,0.461874
92,0.011792,0.239544,0.281274,0.506991
93,0.014387,0.239390,0.281142,0.485885
94,0.008737,0.240592,0.287200,0.480659
95,0.009284,0.235288,0.273701,0.477012
96,0.024228,0.236638,0.269100,0.478169
97,0.009736,0.235451,0.279411,0.478213
98,0.009210,0.236560,0.278758,0.487467
99,0.010192,0.241756,0.284503,0.482255
100,0.008081,0.236152,0.272763,0.506897
