Test Number,wout.uksouth,dsgtn.uaenorth,dsgt.westus2,dsgt1.japaneast
1,0.275826,0.552110,0.010005,0.208891
2,0.272073,0.502203,0.009785,0.203074
3,0.270848,0.504683,0.018337,0.206109
4,0.280814,0.548617,0.010245,0.204013
5,0.270740,0.503433,0.010954,0.206511
6,0.279627,0.568843,0.009903,0.203622
7,0.293550,0.541807,0.009787,0.206024
8,0.289070,0.520721,0.012004,0.207901
9,0.284421,0.500327,0.017313,0.207790
10,0.267726,0.508887,0.010813,0.205925
11,0.273058,0.489441,0.009201,0.204281
12,0.271043,0.518643,0.008513,0.204062
13,0.269995,0.490101,0.009781,0.205564
14,0.273608,0.498264,0.012951,0.205935
15,0.290601,0.520476,0.011724,0.204205
16,0.270702,0.495465,0.009114,0.208339
17,0.282273,0.562761,0.009973,0.207959
18,0.270770,0.532816,0.010519,0.205010
19,0.282696,0.523034,0.010931,0.211665
20,0.269511,0.504468,0.008722,0.209141
21,0.273913,0.522407,0.012275,0.205264
22,0.278733,0.518806,0.014116,0.207766
23,0.290497,0.489267,0.011195,0.204792
24,0.269989,0.518560,0.008967,0.210284
25,0.273512,0.562023,0.010264,0.207720
26,0.279615,0.507624,0.008947,0.203630
27,0.291290,0.488513,0.007983,0.213662
28,0.268332,0.517930,0.009042,0.205252
29,0.289344,0.498883,0.010325,0.205139
30,0.273677,0.487749,0.011390,0.204113
31,0.273528,0.517826,0.009398,0.213223
32,0.283194,0.493754,0.008925,0.201745
33,0.270967,0.502398,0.009249,0.209222
34,0.271675,0.518086,0.009142,0.207411
35,0.282469,0.520562,0.009900,0.206322
36,0.271585,0.517091,0.009790,0.204745
37,0.267940,0.488201,0.009764,0.205448
38,0.280795,0.505441,0.009842,0.203517
39,0.269097,0.516034,0.012311,0.206041
40,0.268838,0.533133,0.008656,0.203860
41,0.273766,0.546675,0.010746,0.205177
42,0.273822,0.518094,0.009208,0.205032
43,0.279685,0.516609,0.009395,0.203475
44,0.281915,0.554232,0.011267,0.208895
45,0.291956,0.503466,0.010286,0.203603
46,0.280653,0.494485,0.012260,0.203263
47,0.271163,0.553534,0.010031,0.206089
48,0.269079,0.501153,0.008817,0.206882
49,0.280621,0.488647,0.015013,0.203828
50,0.270422,0.503062,0.013569,0.208245
51,0.286887,0.553102,0.011722,0.206283
52,0.281275,0.506238,0.009167,0.206599
53,0.271025,0.515736,0.009002,0.209105
54,0.281392,0.501515,0.008431,0.209342
55,0.278879,0.503249,0.014166,0.209355
56,0.272411,0.500125,0.008772,0.206002
57,0.279740,0.487743,0.013611,0.203872
58,0.281035,0.502343,0.009313,0.203215
59,0.282383,0.488753,0.012357,0.214226
60,0.280995,0.561890,0.010110,0.211912
61,0.273657,0.547407,0.012464,0.211530
62,0.279362,0.520323,0.010741,0.203902
63,0.270824,0.494282,0.014542,0.208870
64,0.268615,0.502818,0.010082,0.203007
65,0.281156,0.501284,0.009329,0.205769
66,0.267760,0.502700,0.017879,0.206033
67,0.280011,0.517610,0.014416,0.202865
68,0.282177,0.547536,0.014853,0.205932
69,0.279630,0.518448,0.009022,0.205902
70,0.279651,0.549905,0.009260,0.213182
71,0.273499,0.561412,0.010472,0.206139
72,0.276416,0.519387,0.012128,0.207931
73,0.273455,0.509250,0.008371,0.209601
74,0.282815,0.504209,0.013220,0.202336
75,0.270349,0.516463,0.009010,0.207958
76,0.282879,0.504360,0.010349,0.205597
77,0.280802,0.540815,0.009357,0.208379
78,0.282463,0.512344,0.012428,0.206041
79,0.276753,0.503417,0.010169,0.207307
80,0.278649,0.516152,0.009310,0.205131
81,0.278718,0.502765,0.008865,0.207418
82,0.281079,0.503067,0.013605,0.208018
83,0.280930,0.516542,0.018582,0.209071
84,0.284719,0.518489,0.009644,0.208342
85,0.279795,0.490214,0.010135,0.202782
86,0.287894,0.516283,0.012338,0.203894
87,0.291369,0.516144,0.015153,0.210970
88,0.271063,0.522030,0.010957,0.208570
89,0.278578,0.508012,0.017068,0.211375
90,0.283826,0.504335,0.008256,0.206479
91,0.283060,0.493618,0.010209,0.204016
92,0.280747,0.566149,0.011614,0.203239
93,0.280814,0.502744,0.010328,0.204933
94,0.283809,0.503089,0.010260,0.205739
95,0.280074,0.494268,0.015687,0.207372
96,0.280283,0.516457,0.008922,0.210980
97,0.270117,0.487085,0.007901,0.204493
98,0.280509,0.488174,0.011625,0.205252
99,0.269062,0.565702,0.018037,0.213087
100,0.300610,0.503302,0.008824,0.208124
